location,day,number of orders,percentage of deliveries
Bryant Park,2018-01-01,394,0.0
Bryant Park,2018-01-02,807,0.0
Bryant Park,2018-01-03,744,0.0
Bryant Park,2018-01-04,791,0.0
Bryant Park,2018-01-05,677,0.0
Bryant Park,2018-01-08,856,0.0
Bryant Park,2018-01-09,897,0.0
Bryant Park,2018-01-10,890,0.0
Bryant Park,2018-01-11,924,0.0
Bryant Park,2018-01-12,896,0.0
Bryant Park,2018-01-15,444,0.0
Bryant Park,2018-01-16,812,0.0
Bryant Park,2018-01-17,860,0.0
Bryant Park,2018-01-18,827,0.0
Bryant Park,2018-01-19,890,0.0
Bryant Park,2018-01-22,884,0.0
Bryant Park,2018-01-23,860,0.0
Bryant Park,2018-01-24,860,0.0
Bryant Park,2018-01-25,840,0.0
Bryant Park,2018-01-26,852,0.0
Bryant Park,2018-01-29,900,0.0
Bryant Park,2018-01-30,801,0.0
Bryant Park,2018-01-31,849,0.0
Bryant Park,2018-02-01,946,0.0
Bryant Park,2018-02-02,766,0.0
Bryant Park,2018-02-05,861,0.0
Bryant Park,2018-02-06,840,0.0
Bryant Park,2018-02-07,838,0.0
Bryant Park,2018-02-08,838,0.0
Bryant Park,2018-02-09,836,0.0
Bryant Park,2018-02-12,942,0.0
Bryant Park,2018-02-13,855,0.0
Bryant Park,2018-02-14,882,0.0
Bryant Park,2018-02-15,906,0.0
Bryant Park,2018-02-16,909,0.0
Bryant Park,2018-02-19,527,0.0
Bryant Park,2018-02-20,943,0.0
Bryant Park,2018-02-21,865,0.0
Bryant Park,2018-02-22,935,0.0
Bryant Park,2018-02-23,910,0.0
Bryant Park,2018-02-26,886,0.0
Bryant Park,2018-02-27,903,0.0
Bryant Park,2018-02-28,901,0.0
Bryant Park,2018-03-01,920,0.0
Bryant Park,2018-03-02,860,0.0
Bryant Park,2018-03-05,861,0.0
Bryant Park,2018-03-06,898,0.0
Bryant Park,2018-03-07,848,0.0
Bryant Park,2018-03-08,883,0.0
Bryant Park,2018-03-09,843,0.0
Bryant Park,2018-03-12,902,0.0
Bryant Park,2018-03-13,881,0.0
Bryant Park,2018-03-14,899,0.0
Bryant Park,2018-03-15,913,0.0
Bryant Park,2018-03-16,854,0.0
Bryant Park,2018-03-19,880,0.0
Bryant Park,2018-03-20,892,0.0
Bryant Park,2018-03-21,825,0.0
Bryant Park,2018-03-22,858,0.0
Bryant Park,2018-03-23,902,0.0
Bryant Park,2018-03-26,845,0.0
Bryant Park,2018-03-27,838,0.0
Bryant Park,2018-03-28,897,0.0
Bryant Park,2018-03-29,903,0.0
Bryant Park,2018-03-30,929,0.0
Bryant Park,2018-04-02,897,0.0
Bryant Park,2018-04-03,886,0.0
Bryant Park,2018-04-04,893,0.0
Bryant Park,2018-04-05,845,0.0
Bryant Park,2018-04-06,882,0.0
Bryant Park,2018-04-09,879,0.0
Bryant Park,2018-04-10,884,0.0
Bryant Park,2018-04-11,910,0.0
Bryant Park,2018-04-12,899,0.0
Bryant Park,2018-04-13,868,0.0
Bryant Park,2018-04-16,877,0.0
Bryant Park,2018-04-17,925,0.0
Bryant Park,2018-04-18,900,0.0
Bryant Park,2018-04-19,842,0.0
Bryant Park,2018-04-20,936,0.0
Bryant Park,2018-04-23,869,0.0
Bryant Park,2018-04-24,907,0.0
Bryant Park,2018-04-25,973,0.0
Bryant Park,2018-04-26,867,0.0
Bryant Park,2018-04-27,852,0.0
Bryant Park,2018-04-30,864,0.0
Bryant Park,2018-05-01,915,0.11475409836065574
